id,triggerChannelTitle,triggerTitle,triggerDesc,actionChannelTitle,actionTitle,actionDesc,deviceCategory
1DW5W8I_,Foobot,Pollution is high,This Trigger fires when global air pollution is higher than 50.,WeMo Smart Plug,Turn on,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on.",Generic/Other
A38TqjpD,Location,You exit an area,This Trigger fires every time you exit an area you specify.,iRobot,Start robot,This action will start your robot.,Generic/Other
A7tPkTBb,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",WeMo Maker,Turn relay on momentarily,This Action will turn a WeMo Maker on for 300 milliseconds. Note: WeMo Maker must be in 'Momentary' mode for this action to work.,Generic/Other
A8haWxeE,Smappee,Power rises above,This Trigger fires every time the power rises above the specified value in watts.,TP-Link Kasa,Turn off,This action will turn off a selected device.,Generic/Other
AAY7cbwT,UbiBot,Temperature Rises above or Drops below,This trigger monitors the UbiBot device's built-in temperature sensor readings and fires whenever the temperature rises above or drops below the value you provide.,WeMo Smart Plug,Turn on,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on.",Generic/Other
ADJ48MdZ,Nest Thermostat,Temperature rises above,This Trigger fires every time the temperature rises above a threshold you specify.,Smart Life,Activate Scene,This action will activate the specified scene.,Generic/Other
AHGbTfDY,Weather Underground,Sunset,This Trigger fires within 15 minutes of the sunset in your location.,SwitchBot,Bot turn on ,This action will trigger the specified Bot to turn on the switch.,Generic/Other
ANGCFaWf,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",Smart Life,Activate Scene,This action will activate the specified scene.,Generic/Other
ANGyY6bh,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",WeMo Insight Switch,Turn on,"This Action will turn a WeMo Insight Switch on. If the WeMo Insight Switch is already on, it will remain on.",Generic/Other
APNVrCA4,Date & Time,Every day at,This Trigger fires every single day at a specific time set by you.,WeMo Smart Plug,Turn off,"This Action will turn a WeMo Switch off. If the WeMo Switch is already off, it will remain off.",Generic/Other
AQ5EKa6d,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",Smart Life,Turn on,This action will turn on the device/group of your choosing.,Generic/Other
AR7YdFHS,Button widget,Button press,This trigger fires every time you press the button.,TP-Link Kasa,Turn on,This action will turn on a device.,Generic/Other
ATj3Zv7Q,Wyze,Motion Sensor detects motion,This trigger fires when a Motion Sensor detects motion.,Smart Life,Turn on,This action will turn on the device/group of your choosing.,Generic/Other
AU5VKeyd,Weather Underground,Current temperature drops below,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,TP-Link Kasa,Turn on,This action will turn on a device.,Generic/Other
AdUbMn2L,Date & Time,Every hour at,"This Trigger fires once an hour at :00, :15, :30, or :45 minutes past the hour.",TP-Link Kasa,Toggle,This action will toggle a device.,Generic/Other
Adrjbe4C,Weather Underground,Current condition changes to,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",WeMo Smart Plug,Turn off,"This Action will turn a WeMo Switch off. If the WeMo Switch is already off, it will remain off.",Generic/Other
Ads7kvLD,ComEd,Change in Average Price,This trigger fires for an account that is on a dynamic pricing plan such as the Residential Hourly Pricing program or other real time market rates whenever the average price changes.,WeMo Smart Plug,Turn on,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on.",Generic/Other
Af6v4My5,Email,Send IFTTT an email tagged,Send IFTTT an email at trigger@applet.ifttt.com with a hashtag in the subject (e.g. #IFTTT) and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient.,WeMo Smart Plug,Turn on,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on.",Generic/Other
AgDzRwCs,Date & Time,Every day at,This Trigger fires every single day at a specific time set by you.,Heatzy,Activate the child lock,This action will lock a specific device,Generic/Other
AgaFsChz,Weather Underground,Current temperature rises above,This Trigger monitors your local temperature and fires whenever the temperature rises above the value you provide.,Smart Life,Turn off,This action will turn off the device/group of your choosing.,Generic/Other
AgwL9r8D,Weather Underground,Sunset,This Trigger fires within 15 minutes of the sunset in your location.,WeMo Smart Plug,Turn on,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on.",Generic/Other
Ai3fQzcX,Date & Time,Every day of the week at,This Trigger fires only on specific days of the week at the time you provide.,Smart Life,Turn off,This action will turn off the device/group of your choosing.,Generic/Other
AigcenAN,SmartThings,Brightness drops below,This Trigger fires every time the your SmartThings device detects brightness below a value you specify.,Smart Life,Turn on,This action will turn on the device/group of your choosing.,Generic/Other
Aitg56xS,Google Sheets,Cell updated in spreadsheet,This trigger fires when a particular cell is updated within the spreadsheet you specify.,TP-Link Kasa,Toggle,This action will toggle a device.,Generic/Other
AmBEfdbL,Date & Time,Every day at,This Trigger fires every single day at a specific time set by you.,SwitchBot,Bot turn off,This action will trigger the specified Bot to turn off the switch.,Generic/Other
AmTH8vnp,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",Wemo Dimmer,Change brightness,This action will change brightness of a Dimmer to a specified level/percentage.,Generic/Other
Amwyg5hE,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",WeMo Smart Plug,Toggle on/off,This Action will toggle a WeMo Switch on or off.,Generic/Other
Aq8WnPB7,Weather Underground,Current condition changes to,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",WeMo Smart Plug,Turn on,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on.",Generic/Other
AqMYG5sV,Weather Underground,Current temperature drops below,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,WeMo Smart Plug,Turn off,"This Action will turn a WeMo Switch off. If the WeMo Switch is already off, it will remain off.",Generic/Other
Av7kMX46,WeMo Insight Switch,Switched off,This Trigger fires every time your WeMo Insight Switch is turned off.,WeMo Insight Switch,Turn on,"This Action will turn a WeMo Insight Switch on. If the WeMo Insight Switch is already on, it will remain on.",Generic/Other
AwiThzHd,Date & Time,Every day of the week at,This Trigger fires only on specific days of the week at the time you provide.,WeMo Smart Plug,Turn on,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on.",Generic/Other
B2CH84cU,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",TP-Link Kasa,Turn off,This action will turn off a selected device.,Generic/Other
B2TMR6FE,Date & Time,Every day at,This Trigger fires every single day at a specific time set by you.,WeMo Smart Plug,Turn off,"This Action will turn a WeMo Switch off. If the WeMo Switch is already off, it will remain off.",Generic/Other
B3wqsMPT,Apilio,Receive an event from Apilio,This trigger fires every time IFTTT receives a specific event from Apilio.,TP-Link Kasa,Activate scene,This action will activate a selected Scene from your account.,Generic/Other
B4mfBX9x,Netatmo Weather Station,Temperature drops below,This Trigger fires every time the temperature drops below a value you specify.,WeMo Smart Plug,Turn on,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on.",Generic/Other
B67BTHXb,Email,Send IFTTT any email,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,WeMo Smart Plug,Toggle on/off,This Action will toggle a WeMo Switch on or off.,Generic/Other
B7hVRr9d,Smappee,Power drops below,This Trigger fires every time the power drops below the specified value in watts.,Smappee,Turn on plug,This Action will turn on a plug for the specified duration.,Generic/Other
B7kiYGN9,Android Battery,Battery drops below 15%,This Trigger fires every time your Android device's battery drops below 15%.,TP-Link Kasa,Turn on,This action will turn on a device.,Generic/Other
B8cHWdFU,Weather Underground,Sunset,This Trigger fires within 15 minutes of the sunset in your location.,Energenie Mi|Home,Power off device,This Action will turn off one of your Mi|Home devices.,Generic/Other
BBuGLzWh,uHoo,uHoo air quality alert,This trigger fires when your air quality goes above or below the target level.,iRobot,Start robot,This action will start your robot.,Generic/Other
BEhFUXSq,Arlo,Motion detected,This Trigger fires when your Arlo device detects motion.,WeMo Smart Plug,Turn on,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on.",Generic/Other
BGqn2kNz,WeMo Light Switch,Long press,This Trigger fires every time your WeMo Light Switch is turned on or off with a long press over two seconds.,WeMo Smart Plug,Turn off,"This Action will turn a WeMo Switch off. If the WeMo Switch is already off, it will remain off.",Generic/Other
BSD2BuCf,Date & Time,Every day at,This Trigger fires every single day at a specific time set by you.,Smart Life,Turn off,This action will turn off the device/group of your choosing.,Generic/Other
BSNPysBu,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",iRobot,Dock robot,This action will dock your robot.,Generic/Other
BSVcXtwe,Flic,Flic is clicked,This Trigger fires every time you click the selected Flic.,Smappee,Turn on plug,This Action will turn on a plug for the specified duration.,Generic/Other
BSaTfwiX,Nest Cam,New motion event,This Trigger fires every time the camera detects a motion event.,WeMo Insight Switch,Turn on,"This Action will turn a WeMo Insight Switch on. If the WeMo Insight Switch is already on, it will remain on.",Generic/Other
BUiWh9ZH,Location,You enter an area,This Trigger fires every time you enter an area you specify.,WeMo Smart Plug,Turn on,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on.",Generic/Other
BZiwd3xV,Weather Underground,Current condition changes to,"This Trigger monitors changes in the current weather condition. When one of those conditions is met the Trigger fires. Currently only these simple conditions are supported: Rain, Snow, Cloudy, Clear. ",WeMo Smart Plug,Turn on then off,This Action will turn a WeMo Switch on then immediately back off.,Generic/Other
BaSGzdXL,Android Device,Connects to a specific WiFi network,This Trigger fires every time your Android device connects to a WiFi network you specify.,TP-Link Kasa,Turn on,This action will turn on a device.,Generic/Other
BchwJDe6,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",WeMo Smart Plug,Turn off,"This Action will turn a WeMo Switch off. If the WeMo Switch is already off, it will remain off.",Generic/Other
BeuGbNzt,WeMo Motion,Any new motion,This Trigger fires every time your WeMo Motion sensor detects new motion.,TP-Link Kasa,Turn on,This action will turn on a device.,Generic/Other
BfBMG5T3,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",WeMo Smart Plug,Turn off,"This Action will turn a WeMo Switch off. If the WeMo Switch is already off, it will remain off.",Generic/Other
BfT95BPn,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",iRobot,Start robot,This action will start your robot.,Generic/Other
BgMxrZ89,Date & Time,Every day at,This Trigger fires every single day at a specific time set by you.,WeMo Smart Plug,Turn on,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on.",Generic/Other
Bnx5a864,SmartThings,Any new motion,This Trigger fires every time your SmartThings device senses motion.,Smart Life,Turn on,This action will turn on the device/group of your choosing.,Generic/Other
BpJE5wQZ,Amazon Alexa,Item completed on your To Do List,This Trigger fires every time you complete an item on your To Do List.,WeMo Smart Plug,Turn on then off,This Action will turn a WeMo Switch on then immediately back off.,Generic/Other
BpKVk3ZB,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",Smart Life,Turn off,This action will turn off the device/group of your choosing.,Generic/Other
BrSdTMh9,Brilliant Smart,Device or group is turned on,This trigger fires when the specified device/group is turned on.,Brilliant Smart,Activate Scene,This action will activate the specified scene.,Generic/Other
BuHUtAae,Wink Relay,Button press,This Trigger fires whenever you press the selected button on your Wink Relay.,WeMo Smart Plug,Toggle on/off,This Action will toggle a WeMo Switch on or off.,Generic/Other
BxsyA2pJ,Android SMS,New SMS received matches search,This Trigger fires every time you receive an SMS on your Android device that matches a search you specify.,WeMo Smart Plug,Toggle on/off,This Action will toggle a WeMo Switch on or off.,Generic/Other
BykEN28q,iOS Calendar,New event added to specific calendar,This trigger fires every time a new event is added to the calendar that you specify.,TP-Link Kasa,Activate scene,This action will activate a selected Scene from your account.,Generic/Other
BzhpS3mM,WeMo Motion,Any new motion,This Trigger fires every time your WeMo Motion sensor detects new motion.,WeMo Smart Plug,Turn on then off,This Action will turn a WeMo Switch on then immediately back off.,Generic/Other
C2hr49wt,Agile Octopus,Energy price change,Use this trigger to fire something when your electricity price falls or rises past your set threshold and between your preferred time settings.,Smart Life,Turn off,This action will turn off the device/group of your choosing.,Generic/Other
C3fzkPje,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",iRobot,Dock robot,This action will dock your robot.,Generic/Other
C4rqU6v8,Location,You enter an area,This Trigger fires every time you enter an area you specify.,WeMo Smart Plug,Turn on,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on.",Generic/Other
C7vQYxdJ,WeMo Maker,Relay on,This Trigger fires every time your WeMo Maker relay is turned on in toggle mode.,WeMo Maker,Turn relay off,"This Action will turn a WeMo Maker off. If the WeMo Maker is already off, it will remain off.",Generic/Other
C95xKmUk,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",WeMo Smart Plug,Turn on,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on.",Generic/Other
CA5UipKN,SwitchBot,Motion detected or no motion detected,"When Motion Sensor detected motion or no motion, the SwitchBot motion sensor will try to trigger the service.",Heatzy,Turn off,This action will turn off a specific device,Generic/Other
CB8vqNjX,Weather Underground,Sunrise,This Trigger fires within 15 minutes of the sunrise in your location.,Wink: Pivot Power Genius,Turn outlet off,"This Action will turn off the Pivot Power Genius outlet you specify. If the outlet is already off, it will remain off.",Generic/Other
CBrMH9fK,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",Smart Life,Turn off,This action will turn off the device/group of your choosing.,Generic/Other
CCQgDJ5B,Weather Underground,Current temperature drops below,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,iDevices,Turn on,This action will turn the specified product on.,Generic/Other
CCsn9zcA,Location,You exit an area,This Trigger fires every time you exit an area you specify.,TP-Link Kasa,Turn off,This action will turn off a selected device.,Generic/Other
CCu5jcxU,Location,You enter an area,This Trigger fires every time you enter an area you specify.,TP-Link Kasa,Turn on,This action will turn on a device.,Generic/Other
CD8w573R,Hubitat,Device turns off,This trigger fires when your Hubitat device turns off.,Smart Life,Turn off,This action will turn off the device/group of your choosing.,Generic/Other
CEjPDM3x,Button widget,Button press,This trigger fires every time you press the button.,ThermoSmart,Pause,This Action will pause your ThermoSmart.,Generic/Other
CKzPJ8E6,Android Device,Notification received from a specific app,This trigger fires every time a new notification is received on your Android device from an app that you specify. NOTE: will not fire for IFTTT app notifications.,TP-Link Kasa,Turn on,This action will turn on a device.,Generic/Other
CLg9SR8k,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",iRobot,Start robot,This action will start your robot.,Generic/Other
CM97SHr2,Weather Underground,Sunset,This Trigger fires within 15 minutes of the sunset in your location.,WeMo Smart Plug,Turn on,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on.",Generic/Other
CM9VcJZj,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",TP-Link Kasa,Turn on,This action will turn on a device.,Generic/Other
CTFBbQPR,Amazon Alexa,Say a specific phrase,"This trigger fires every time you say 'Alexa trigger' + the phrase that you have defined. For instance, if you set 'party time' as the phrase, you can say 'Alexa trigger party time' to have your lights loop colors.",WeMo Maker,Turn relay on momentarily,This Action will turn a WeMo Maker on for 300 milliseconds. Note: WeMo Maker must be in 'Momentary' mode for this action to work.,Generic/Other
CYPzZGHF,Google Calendar,Event from search starts,"This Trigger fires a set number of minutes before the starting time of an event on your Google Calendar that contains a specific keyword or phrase. The search looks at the event’s Title, Description, and Location.",WeMo Insight Switch,Turn on,"This Action will turn a WeMo Insight Switch on. If the WeMo Insight Switch is already on, it will remain on.",Generic/Other
CZDTUaxb,Weather Underground,Sunset,This Trigger fires within 15 minutes of the sunset in your location.,WeMo Smart Plug,Turn on,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on.",Generic/Other
CafUFMHk,Email,Send IFTTT any email,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. ,WeMo Smart Plug,Toggle on/off,This Action will toggle a WeMo Switch on or off.,Generic/Other
Ch42rx9p,Android Battery,Device is unplugged,This Trigger fires every time your Android device is unplugged.,TP-Link Kasa,Turn off,This action will turn off a selected device.,Generic/Other
ChB4m5v3,Location,You exit an area,This Trigger fires every time you exit an area you specify.,WeMo Smart Plug,Turn off,"This Action will turn a WeMo Switch off. If the WeMo Switch is already off, it will remain off.",Generic/Other
CkevCKNP,Date & Time,Every day at,This Trigger fires every single day at a specific time set by you.,WeMo Smart Plug,Turn on,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on.",Generic/Other
CmXEJbUc,Button widget,Button press,This trigger fires every time you press the button.,Heatzy,Set manual mode,This action will set a specific device on manual mode,Generic/Other
CncLEzZy,Location,You enter or exit an area,This Trigger fires every time you enter or exit an area you specify.,WeMo Smart Plug,Toggle on/off,This Action will toggle a WeMo Switch on or off.,Generic/Other
CnjCKG6s,Date & Time,Every day at,This Trigger fires every single day at a specific time set by you.,WeMo Smart Plug,Turn off,"This Action will turn a WeMo Switch off. If the WeMo Switch is already off, it will remain off.",Generic/Other
Cr6ncWxA,Powered by Viva,We detect that the home is empty,This trigger fires when every family member has left.,WeMo Smart Plug,Turn off,"This Action will turn a WeMo Switch off. If the WeMo Switch is already off, it will remain off.",Generic/Other
CtgRCjWZ,Google Assistant,Say a simple phrase,"This trigger fires when you say “Ok Google” to the Google Assistant followed by a phrase you choose. For example, say “Ok Google, I’m running late” to text a family member that you’re on your way home.",Nature Remo,Control home appliances,This action will send an infrared signal to control your home appliances.,Generic/Other
CvtMhnLb,Android Device,Connects to a specific WiFi network,This Trigger fires every time your Android device connects to a WiFi network you specify.,TP-Link Kasa,Turn on,This action will turn on a device.,Generic/Other
D4iYuBNS,Weather Underground,Sunset,This Trigger fires within 15 minutes of the sunset in your location.,WeMo Smart Plug,Turn on,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on.",Generic/Other
D5bNEyVd,Location,You enter an area,This Trigger fires every time you enter an area you specify.,Heatmiser,Turn neoPlug on,This Action will allow you to switch on the selected neoPlug.,Generic/Other
D6C9Hsj2,Orion - Voice for Teams,Listen for a word or phrase,This trigger fires every time you or someone in your Orion group says a particular word or phrase.,WeMo Smart Plug,Toggle on/off,This Action will toggle a WeMo Switch on or off.,Generic/Other
D7mnUZi3,Weather Underground,Sunset,This Trigger fires within 15 minutes of the sunset in your location.,WeMo Smart Plug,Turn on,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on.",Generic/Other
D8qP5LiA,Button widget,Button press,This trigger fires every time you press the button.,WeMo Insight Switch,Turn off,"This Action will turn a WeMo Switch off. If the WeMo Switch is already off, it will remain off.",Generic/Other
DAYt2uRg,Location,You enter an area,This Trigger fires every time you enter an area you specify.,TP-Link Kasa,Turn on,This action will turn on a device.,Generic/Other
DAw76jUk,Email,Send IFTTT any email,Send IFTTT any email at trigger@applet.ifttt.com and this Trigger fires. You can optionally add a single file attachment and IFTTT will create a public URL to the file as an Ingredient. This trigger will reject emails with attachments over 30MB.,WeMo Smart Plug,Turn on then off,This Action will turn a WeMo Switch on then immediately back off.,Generic/Other
DB6KNLyb,Google Calendar,Event from search starts,"This Trigger fires a set number of minutes before the starting time of an event on your Calendar that contains a specific keyword or phrase in the event’s Title, Description, or Location. Ingredient will be based on the zone set in Google.",WeMo Smart Plug,Turn off,"This Action will turn a WeMo Switch off. If the WeMo Switch is already off, it will remain off.",Generic/Other
DCvwKhbY,Litter-Robot by Whisker,Litter Robot Events,This trigger fires when an event is triggered from your litter robot. ie. Clean Cycle Completes,iRobot,Clean by Room,This action will clean a specific room in your home. For robots with Imprint™ Smart Mapping technology.,Generic/Other
DDVuQJvG,Date & Time,Every hour at,"This Trigger fires once an hour at :00, :15, :30, or :45 minutes past the hour.",WeMo Insight Switch,Turn on,"This Action will turn a WeMo Insight Switch on. If the WeMo Insight Switch is already on, it will remain on.",Generic/Other
DFmSMW9B,Android Device,Notification received from a specific app,This trigger fires every time a new notification is received on your Android device from an app that you specify. NOTE: will not fire for IFTTT app notifications.,Smart Life,Turn on,This action will turn on the device/group of your choosing.,Generic/Other
DGbRmNpc,Netatmo Weather Station,Humidity rises above,This Trigger fires every time the humidity rises above a percentage you specify.,WeMo Insight Switch,Turn on,"This Action will turn a WeMo Insight Switch on. If the WeMo Insight Switch is already on, it will remain on.",Generic/Other
DGgTYv4H,Hubitat,Device turns off,This trigger fires when your Hubitat device turns off.,Smart Life,Turn off,This action will turn off the device/group of your choosing.,Generic/Other
DJCyH7wz,Date & Time,Every day of the week at,This Trigger fires only on specific days of the week at the time you provide.,WeMo Insight Switch,Turn off,"This Action will turn a WeMo Switch off. If the WeMo Switch is already off, it will remain off.",Generic/Other
DKzmP6YS,Button widget,Button press,This trigger fires every time you press the button.,Smart Life,Activate Scene,This action will activate the specified scene.,Generic/Other
DMmPJCW2,Weather Underground,Current temperature drops below,This Trigger monitors your local temperature and fires whenever the temperature drops below the value you provide.,Smart Life,Turn off,This action will turn off the device/group of your choosing.,Generic/Other
DNgdetuZ,Withings Sleep,When I get out of bed,"This trigger fires every time your Withings Sleep detects that you get out of bed, within the start and end time parameters that you specify.",Heatzy,Set eco mode,This action will set a specific device on eco mode,Generic/Other
DPFc8wQj,Button widget,Button press,This trigger fires every time you press the button.,TP-Link Kasa,Turn off,This action will turn off a selected device.,Generic/Other
DRBc2Wqu,Button widget,Button press,This trigger fires every time you press the button.,Smart Life,Activate Scene,This action will activate the specified scene.,Generic/Other
DRFxz8dk,Nest Thermostat,Temperature drops below,This Trigger fires every time the temperature drops below a threshold you specify.,WeMo Smart Plug,Turn on,"This Action will turn a WeMo Switch on. If the WeMo Switch is already on, it will remain on.",Generic/Other
DSkVQzjy,Honeywell Home,Smart Home Security away mode activated,This trigger fires when the home security device enters Away mode.,iRobot,Start robot,This action will start your robot.,Generic/Other
DTw3GDk7,OhmConnect,An #OhmHour starts,This trigger fires when an OhmHour starts,WeMo Smart Plug,Turn off,"This Action will turn a WeMo Switch off. If the WeMo Switch is already off, it will remain off.",Generic/Other
DWnhf2ZS,Apilio,Receive an event from Apilio,This trigger fires every time IFTTT receives a specific event from Apilio.,TP-Link Kasa,Turn on,This action will turn on a device.,Generic/Other
DXadVGMr,Weather Underground,Sunset,This Trigger fires within 15 minutes of the sunset in your location.,iDevices,Turn on,This action will turn the specified product on.,Generic/Other
